,Volume,Doors,Style,PredictedStyle
0,102,4,Sedan,Sedan
1,121,5,SUV,SUV
2,113,4,Sedan,Sedan
3,134,5,SUV,SUV
4,134,5,SUV,SUV
5,114,5,SUV,SUV
6,120,4,Sedan,Pickup
7,96,2,Sedan,Sedan
8,100,4,Sedan,Sedan
9,130,4,Pickup,Pickup
10,110,4,Jeep,Sedan
11,150,4,Van,Van
12,97,4,Sedan,Sedan
13,105,4,SUV,SUV
14,135,4,Pickup,Pickup
15,108,4,SUV,SUV
16,115,4,SUV,SUV
17,95,4,Sedan,Jeep
18,107,4,SUV,SUV
19,92,4,SUV,SUV
20,105,4,SUV,SUV
21,89,4,SUV,SUV
22,97,4,SUV,Sedan
23,88,4,Sedan,Sedan
24,120,4,Pickup,Pickup
25,104,4,Sedan,Sedan
26,97,4,Sedan,Sedan
27,100,4,Sedan,Sedan
28,115,4,SUV,SUV
29,95,4,Jeep,Jeep
30,105,4,SUV,SUV
31,97,4,Sedan,Sedan
32,132,4,Pickup,Pickup
33,94,4,Sedan,Sedan
34,99,4,Sedan,Sedan
35,110,4,SUV,Sedan
36,103,4,Sedan,SUV
37,135,4,SUV,Pickup
38,101,4,Sedan,Sedan
39,145,4,SUV,SUV
40,137,4,SUV,SUV
41,100,4,Sedan,Sedan
42,131,4,SUV,Pickup
43,98,4,Pickup,Pickup
44,94,4,Sedan,Sedan
45,106,5,SUV,SUV
46,105,4,Sedan,SUV
47,96,4,Sedan,Sedan
48,116,4,Sedan,Sedan
49,112,4,Sedan,Sedan
50,137,5,SUV,SUV
51,132,4,Pickup,Pickup
52,113,4,Sedan,Sedan
53,145,4,SUV,SUV
54,132,4,Pickup,Pickup
55,99,4,SUV,Sedan
56,96,4,SUV,Sedan
57,106,4,SUV,SUV
58,136,4,SUV,SUV
59,134,4,SUV,Pickup
60,103,4,SUV,SUV
61,168,4,SUV,SUV
62,112,4,Sedan,Sedan
63,110,4,Sedan,Sedan
64,144,5,SUV,SUV
65,114,4,Sedan,Sedan
66,118,4,Sedan,Sedan
67,110,2,Sedan,Sedan
68,100,4,Pickup,Sedan
69,112,4,Sedan,Sedan
70,122,4,Sedan,Pickup
71,132,4,Pickup,Pickup
72,135,5,Jeep,Jeep
73,112,4,Sedan,Sedan
74,136,5,SUV,SUV
75,115,4,Sedan,SUV
76,134,4,Pickup,Pickup
77,128,4,SUV,SUV
78,106,4,SUV,SUV
79,111,4,SUV,SUV
80,106,4,SUV,SUV
81,128,4,SUV,SUV
82,109,4,SUV,SUV
83,104,4,Jeep,Sedan
84,112,4,Sedan,Sedan
85,128,4,SUV,SUV
86,105,4,Sedan,SUV
87,110,4,Sedan,Sedan
88,140,4,SUV,SUV
89,118,4,Sedan,Sedan
90,110,4,Sedan,Sedan
91,88,4,Sedan,Sedan
92,94,4,Sedan,Sedan
93,110,5,Sedan,SUV
94,144,5,SUV,SUV
95,97,4,Sedan,Sedan
96,82,2,Sedan,Sedan
97,136,5,SUV,SUV
98,165,5,Van,Van
99,100,4,Sedan,Sedan
100,132,4,Pickup,Pickup
101,160,5,Van,Van
102,135,4,Pickup,Pickup
103,94,4,Sedan,Sedan
104,94,4,SUV,Sedan
105,134,4,SUV,Pickup
106,122,4,SUV,Pickup
107,85,2,Sedan,Sedan
108,115,4,Sedan,SUV
109,102,4,Sedan,Sedan
110,101,4,Sedan,Sedan
111,121,4,Sedan,SUV
112,117,4,SUV,SUV
113,122,5,SUV,SUV
114,172,5,SUV,SUV
115,105,5,SUV,SUV
116,122,4,Pickup,Pickup
117,106,5,SUV,SUV
118,120,4,Pickup,Pickup
119,120,5,SUV,SUV
120,122,4,Pickup,Pickup
121,105,5,SUV,SUV
122,100,4,Sedan,Sedan
123,136,4,SUV,SUV
124,106,4,Sedan,SUV
125,123,4,SUV,SUV
126,144,4,SUV,SUV
127,121,4,SUV,SUV
128,99,4,Sedan,Sedan
129,95,4,Sedan,Jeep
130,0,0,0.6666666666666666,
